Data,Vidro,Qtde,Área (m2),Rendimento (%),dia,mes,ano,meta_forno,data2,dia_02
2025-01-06 07:40:04,ICFL08,142,60.68,0.602,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 08:51:13,CZFL08,2,1.63,0.1612,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 08:51:13,ICFL08,5,3.92,0.3889,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 08:56:29,CZFL08,3,2.14,0.2123,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 08:56:29,ICFL08,5,3.72,0.369,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 08:56:29,VDFL08,1,1.65,0.1637,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 09:06:01,ICFL08,6,4.43,0.4395,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 09:06:01,CZFL08,2,3.3,0.3274,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 09:09:49,ICFL08,44,58.6,0.8305,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 09:56:30,CZFL08,1,1.98,0.1964,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 10:00:49,ICFL08,34,42.63,0.8459,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 10:29:17,ICFL06,1,0.36,0.0362,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 10:34:45,ICFL08,50,54.31,0.7697,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 11:25:43,VDFL08,4,5.58,0.5536,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 11:25:43,ICFL08,23,22.38,0.5551,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 11:46:40,VDFL08,3,2.88,0.2862,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 11:53:48,ICFL08,3,2.9,0.2872,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 11:53:48,VDFL08,3,3.13,0.311,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 11:59:15,ICFL08,3,4.28,0.4246,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 11:59:15,VDFL08,2,2.41,0.2391,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 12:08:49,ICFL08,20,25.33,0.6283,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 12:27:03,VDFL08,5,4.69,0.2326,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 12:31:05,ICFL08,3,5.33,0.5285,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 12:38:59,VDFL08,6,6.13,0.6086,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 12:38:59,ICFL08,6,2.94,0.1458,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 12:46:03,VDFL08,4,3.29,0.3264,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 12:52:01,ICFL08,90,41.96,0.5947,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 13:48:13,CZFL08,1,0.34,0.0337,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 13:54:04,ICFL08,65,70.81,0.7805,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 14:58:08,CZFL08,1,2.06,0.2044,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 15:05:27,ICFL08,21,30.03,0.7449,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 15:27:05,CZFL08,2,3.3,0.3274,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 15:36:08,ICFL08,27,19.96,0.66,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 15:52:57,VDFL08,4,5.13,0.2545,6,1,2025,700,2025-01-06,06-Seg
2025-01-06 16:02:09,ICFL08,21,17.71,0.5858,6,1,2025,700,2025-01-06,06-Seg
